warlock	witch
championship	contest
plodder	hack
horsemeat	meat
genomics	genetics
darkroom	room
nightcap	cap
bran	chaff
shunter	locomotive
wolfhound	hound
hygiene	medicine
carotenoid	pigment
compunction	sorrow
synchrotron	cyclotron
conversion	transformation
antipodal	opposition
count	investigation
communion	intercourse
snit	irritation
flap	airfoil
monstrosity	malformation
craftiness	disingenuousness
backstairs	stairway
in-fighting	fight
meringue	topping
anathema	execration
resurrection	revival
propulsion	act
patentee	inventor
effusion	flood
refugee	exile
halberd	pike
fluorite	mineral
plexus	structure
oak	tree
stuffiness	quality
destabilization	change
rout	defeat
gutter	worker
savory	dainty
levity	frivolity
skimming	larceny
sirloin	cut
conformist	conservative
landscape	genre
dove	pacifist
flies	space
proposition	offer
contact	connection
roughness	texture
partnership	contract
piste	court
hairpin	pin
spillway	conduit
vanity	worthlessness
ectoplasm	emanation
corn	mawkishness
interval	distance
toast	bread
cut	canal
sugarloaf	sugar
stem	tube
catwalk	walk
confessor	priest
sake	alcohol
haywire	wire
baldachin	canopy
underpants	undergarment
insinuation	implication
gloss	explanation
magazine	storehouse
ichor	fluid
ally	associate
yardage	distance
groundbreaking	beginning
saddleback	pass
questioning	request
radiotelephone	wireless
minimalist	conservative
updating	change
radiologist	specialist
channel	passage
loanword	word
ivy	vine
chickpea	legume
preamble	introduction
tie	brace
covert	flock
minibar	buffet
baiting	harassment
slit	opening
ouster	eviction
mouthpiece	spokesperson
miscegenation	reproduction
tetrachloride	compound
alfalfa	fodder
form	mold
subpoena	writ
scapula	bone
thesis	premise
entree	entrance
skier	athlete
frost	ice
hakim	ruler
shoulder	cut
chromosome	body
interstate	highway
aftertaste	afterimage
preservation	condition
barrage	language
drinking	consumption
impact	contact
iota	letter
coolness	calmness
methadone	narcotic
laborer	workman
lymphoma	cancer
butterscotch	candy
agitation	motion
greed	desire
builder	contractor
investment	promotion
resh	letter
relic	antiquity
effect	symptom
anxiety	emotion
obsessive-compulsive	neurotic
flower	angiosperm
impression	publication
methodology	epistemology
incoherence	disjunction
circus	company
centipede	arthropod
canonist	specialist
yang	principle
agnomen	name
adrenergic	vasoconstrictor
hatchet	ax
conservative	adult
tequila	liquor
toroid	solid
pancake	cake
attitude	cognition
astronomy	physics
condenser	lens
porterage	carry
promisee	communicator
frottage	masturbation
appointment	furnishing
exhaust	gas
dressing	conversion
give	elasticity
thunderbolt	lightning
tie	slur
judiciary	administration
tremor	vibration
athenaeum	club
openwork	work
deodorant	toiletry
slice	spatula
holdout	swindle
installation	beginning
place	vicinity
loophole	hole
term	word
overfeeding	feeding
cabin	compartment
annum	year
temperament	emotionality
electronics	physics
alabaster	calcite
stuffing	padding
depth	region
attraction	feature
storage	retention
ice	diamond
trespass	wrongdoing
clew	ball
dietician	specialist
chignon	hairdo
fair	gathering
gospel	doctrine
structure	artifact
dialogue	talk
tubercle	lesion
minister	executive
undies	lingerie
pull	propulsion
videocassette	cassette
labor	work
chalice	cup
petrology	morphology
blip	shock
dynamism	doctrine
blueprint	plan
buckwheat	grain
deixis	semantics
offspring	relative
population	group
floorboard	board
mung	legume
stickiness	viscosity
canal	watercourse
lagan	wreckage
spy	spectator
inflection	deviation
gnome	maxim
ague	symptom
projection	prediction
construction	constituent
irreverence	attitude
hater	person
planting	placement
humming	singing
dump	storehouse
pleasance	retreat
score	set
piece	part
morphine	analgesic
cider	beverage
shark	expert
gradation	rank
quirk	groove
clove	spice
quadric	curve
pacifier	thing
illuminance	luminosity
transition	change
cassava	shrub
aerospace	region
rebroadcast	broadcast
statics	mechanics
epigraph	quotation
novelty	originality
naphtha	solvent
dullness	shape
hook	implement
intercommunication	communication
fullback	back
awakening	arousal
parameter	factor
duchy	domain
hematology	medicine
shearer	workman
temperance	combination
care	protection
tremolo	shaking
half-moon	area
bulge	projection
vendetta	feud
underperformer	business
hatbox	baggage
chair	seat
support	operation
whey	serum
neoliberal	liberal
epidemiology	medicine
bovid	ruminant
pyramid	polyhedron
esquire	attendant
diagnosis	designation
geranium	herb
jumble	cake
rogation	invocation
pimple	acne
cyberculture	culture
flask	bottle
size	property
achiever	person
beloved	lover
hypermedia	multimedia
standard	value
ledger	record
bollard	post
nightmare	situation
simpleton	person
rotisserie	restaurant
ambulatory	walk
leeway	drift
rendering	coating
aircrew	crew
lasagna	pasta
heel	end
hologram	photograph
reappearance	appearance
strike	attack
microflora	plant
ligation	tying
future	commodity
force	intensity
foghorn	horn
positivity	amount
factorial	product
measurement	activity
frame	drawing
disconnection	separation
punter	kicker
pickle	relish
complex	whole
frappe	milkshake
newsroom	staff
freehold	estate
clairvoyant	psychic
market	activity
hospitalization	condition
post	upright
anjou	pear
viremia	pathology
sixteenth	rank
patriot	national
adventurism	recklessness
cutlet	piece
whole	concept
mock-heroic	caricature
felicity	appropriateness
scroll	manuscript
extravaganza	entertainment
ore	mineral
quadratic	polynomial
vaulting	structure
counterweight	weight
occultism	supernaturalism
squeak	noise
webworm	caterpillar
sketch	description
port	opening
machinist	craftsman
songwriter	composer
carnelian	chalcedony
purdah	screen
tetanus	contraction
countrywoman	compatriot
crinoline	fabric
coat	hair
potpie	dish
climatology	meteorology
lemongrass	oil
nightwear	clothing
commelina	flower
learner	person
folio	book
bed	foundation
fluid	matter
reclamation	restoration
spindle	fiber
distribution	act
inclination	liking
butt	victim
nematode	worm
accretion	inheritance
pachinko	pinball
width	dimension
kink	difficulty
playtime	leisure
embryology	biology
prerogative	right
congeniality	friendliness
smart	pain
integrity	honesty
switch	change
rub	contact
ouster	person
hortensia	hydrangea
animist	disciple
predominance	dominance
brahman	aristocrat
way	journey
perversity	evil
in-fighting	boxing
businessman	businessperson
mucor	mold
chronograph	timer
bud	sprout
cream	elite
noseband	strap
liberalization	easing
place	condition
theist	believer
party	person
hatemonger	detractor
primrose	herb
widening	increase
gradual	antiphon
cut	opening
glimpse	indication
pylon	tower
fall	weakening
topicalization	emphasis
rumble	fight
ablation	operation
piezoelectricity	electricity
meaninglessness	insignificance
flashback	recurrence
secretary	assistant
hillside	slope
welcher	swindler
antithesis	opposition
bakery	shop
beeline	path
metropolitan	resident
malady	condition
assembly	gathering
isolation	alienation
publication	work
biogenesis	generation
airspace	atmosphere
observation	remark
description	kind
juvenile	person
polity	organization
linesman	official
posthouse	hostel
tarn	lake
worm	screw
invention	creation
lodge	dwelling
cheesecake	cake
focus	clarity
background	accompaniment
footman	manservant
hope	person
shelter	housing
divan	sofa
kahikatea	conifer
lean-to	shelter
octave	interval
rest	inaction
mudslide	landslide
gargle	solution
overemphasis	vehemence
boredom	dissatisfaction
orphan	young
carina	structure
takeout	bid
curatorship	position
swag	valuable
scaffolding	system
disguise	concealment
liability	susceptibility
rebuke	criticism
disrespect	message
hoodoo	object
dorsiflexion	flexion
interest	share
refrigeration	cooling
liquidator	fiduciary
caterpillar	larva
scalper	speculator
beanie	skullcap
miss	failure
executive	administration
quarryman	worker
tax	levy
budget	plan
breakthrough	discovery
kinsman	relative
coquette	woman
tetralogy	serial
thumbprint	fingerprint
allure	attraction
hutch	cage
class	gathering
centrosome	cytoplasm
mailing	transmission
use	activity
maguey	agave
restlessness	irritation
fir	wood
oral	examination
crosshairs	center
undoing	about-face
triglyceride	lipid
stain	appearance
cabinet	housing
thunderhead	cumulus
mink	fur
thermocouple	thermometer
ampicillin	penicillin
signet	seal
sage	herb
discard	object
keyboardist	musician
hugger	person
culture	taste
self-fulfillment	fulfillment
family	kin
coalfield	field
entente	alliance
tunnel	passageway
lobelia	herb
subordination	submissiveness
used-car	car
amputation	operation
broker-dealer	principal
antifeminist	bigot
rejection	act
lumpenproletariat	labor
mimesis	quotation
countersuit	lawsuit
telomere	end
renter	owner
titter	laugh
carter	worker
gape	stare
ides	day
portfolio	case
workspace	space
aviary	building
belittling	disparagement
artery	thoroughfare
liberation	attempt
pilot	mariner
boom	prosperity
filigree	embellishment
entrepreneur	businessperson
chop	grounder
mold	dessert
conversationalist	speaker
chirp	sound
crest	process
simplicity	quality
apostasy	rejection
banishment	rejection
ability	cognition
kino	gum
residency	act
mortality	impermanence
pill	dose
stall	seating
calmness	feeling
grosbeak	finch
wave	curve
vicuna	fabric
kudu	antelope
silesia	fabric
hemorrhoid	pain
loss	decline
bustle	commotion
mimosa	shrub
bounty	generosity
bridle	headgear
hepatica	liverwort
cayenne	capsicum
proportionality	ratio
bogy	aircraft
argument	evidence
comma	nymphalid
part	tune
coinage	currency
indiscipline	trait
humility	feeling
crammer	school
yawner	person
leatherwood	shrub
capitalist	conservative
no-brainer	undertaking
disposable	item
conducting	management
confession	penance
suspension	debarment
freshet	flow
keratoconus	astigmatism
expressway	highway
agriculture	class
hacker	programmer
grotesqueness	ugliness
deactivation	termination
deliberation	discussion
stemmer	algorithm
consistency	coherence
sequencer	apparatus
lysis	dissolution
insubordination	resistance
canfield	solitaire
crack	cocaine
consequence	result
address	code
mockernut	hickory
interlocutor	conversationalist
feature	merchandise
lack	need
pornography	creation
kneeler	person
island	land
mistress	woman
stick	lever
dolman	cloak
root	number
funds	assets
form	document
latecomer	arrival
fairway	tract
sequel	result
wurtzite	mineral
twit	aggravation
entablature	structure
exhibition	collection
conspectus	summary
rediscovery	discovery
prognosis	prediction
lead	score
stud	man
migraine	headache
criminalization	legislation
assurance	insurance
frame	application
midwife	nurse
workmate	worker
skinny	information
broadening	development
nunnery	convent
retro	fashion
tail	reverse
vacation	abrogation
suffocation	killing
arbitrageur	businessman
marriage	family
health	wellbeing
snot	mucus
samsara	cycle
distribution	commerce
lyric	poem
meekness	humility
backing	blessing
whimper	complaint
confirmation	information
observation	look
bogeyman	monster
boundary	line
laxness	negligence
mackintosh	fabric
cracker	bread
obscurantism	policy
extremist	radical
cytotoxicity	toxicity
flume	watercourse
manumission	liberation
metalwork	work
responsiveness	quality
phonetics	acoustics
soubrette	girl
hit	dose
missile	weapon
reward	blessing
indemnification	recompense
smacker	smack
mounting	framework
desire	tendency
postulant	petitioner
magnetron	tube
advocacy	support
formality	manner
optimist	person
ornithischian	dinosaur
bride	newlywed
comedy	drama
zing	sound
shofar	horn
hustings	campaigning
canopy	covering
manhattan	cocktail
attribution	classification
pax	greeting
mahogany	wood
netting	weaving
eft	newt
stoop	inclination
historicism	hypothesis
weapon	persuasion
vaccine	immunogen
contrast	comparison
osteomyelitis	osteitis
dismissal	termination
blizzard	storm
thigh	limb
entry	accounting
corker	message
lift	propulsion
blame	reproach
armlet	band
telescope	magnifier
subscription	payment
surgery	room
rundle	crosspiece
ensign	colors
grant-in-aid	grant
sorrel	horse
balance	equality
reflux	pathology
rheumatologist	specialist
laundering	wash
woodlouse	isopod
moat	trench
reserve	accumulation
heparin	anticoagulant
supercomputer	mainframe
gloxinia	houseplant
exclusive	report
orderliness	regularity
bight	bay
string	cord
debugger	program
slinger	thrower
cottonseed	oilseed
tortoise	turtle
input	component
odontoglossum	orchid
identity	operator
umpire	official
anchor	hook
ministry	priesthood
cycloid	roulette
taboo	bias
base	part
possible	applicant
narc	lawman
scavenger	animal
jumper	person
hum	noise
heartstrings	love
logbook	record
mention	award
metropolitan	archbishop
loop	clique
recognition	diplomacy
strain	injury
shock	fight
everyman	commoner
fluff	material
pastrami	beef
dickey	insert
juror	panelist
jacquard	fabric
office	staff
brochette	spit
terrarium	vivarium
bang	hairdo
racism	bias
ability	quality
outpatient	patient
baryon	fermion
misinterpretation	interpretation
bayat	oath
application	program
precession	motion
stowage	storage
alliance	connection
turnout	gathering
circumstance	condition
trance	unconsciousness
crop	handle
processing	process
motorcade	procession
progress	motion
salutation	opening
shading	gradation
easterner	inhabitant
orderliness	condition
hold	cell
feldspar	spar
public	body
crevasse	crack
chaff	foil
foul	violation
orange	pigment
scalar	variable
scull	oar
mold	fungus
cryolite	mineral
dashiki	shirt
sensitization	sensitivity
strain	effort
axis	line
host	army
virus	representation
elixir	panacea
confederation	union
about-face	change
nephrectomy	ablation
addition	increase
neurosurgery	operation
onset	start
thuggery	crime
mitochondrion	organelle
demerara	rum
bonanza	vein
grampus	dolphin
lodge	gatehouse
mooring	anchorage
sympathy	feeling
lightweight	boxer
rival	contestant
roomette	compartment
tensor	variable
moquette	fabric
imbroglio	situation
lint	fabric
dentition	set
proxy	agent
embezzlement	larceny
capability	ability
analysis	calculus
jihad	striving
feather	rotation
intima	membrane
cote	shelter
collet	chuck
phycology	botany
mastership	position
bazaar	sale
forsaking	renunciation
savanna	grassland
ponce	man
oxbow	meander
tail	rear
analogue	similarity
lemma	proposition
lend-lease	transfer
periwinkle	subshrub
average	ratio
aphelion	apoapsis
volume	publication
presenter	communicator
jowl	feature
pigtail	braid
dolmas	dish
dehydration	extraction
tartrate	salt
pervasiveness	generality
review	accounting
slickness	smoothness
right	position
orator	speaker
jag	intemperance
bootlegger	criminal
esthete	connoisseur
spellbinder	orator
charity	benevolence
restrictiveness	modification
ogress	ogre
beam	width
catmint	herb
fitting	accessory
peek	look
quadruple	multiple
luxation	shift
exclamation	utterance
biweekly	series
shindig	party
schoolfriend	friend
scratcher	workman
tearaway	daredevil
delphinium	flower
archer	expert
ox	cattle
distaff	sphere
migration	motion
sitter	organism
journey	travel
speller	writer
ruck	multitude
trusty	convict
monomania	mania
breath	respite
mainstream	thought
egalitarianism	doctrine
anticyclone	atmosphere
corticosterone	glucocorticoid
proportion	magnitude
subluxation	luxation
coherence	connection
increase	change
rappel	descent
nucleus	organelle
chlorination	disinfection
attachment	combination
abutment	point
ringer	imposter
argus	pheasant
broadside	side
condensation	process
neutralist	advocate
cookie	text
side	lineage
culverin	musket
egg	ovum
jumper	jacket
pomelo	citrus
nephrite	amphibole
altruism	unselfishness
father-in-law	father
tiebreaker	overtime
pilferage	larceny
haddock	fish
largeness	magnitude
spike	implement
voyage	journey
sodalite	mineral
topping	garnish
cornpone	cornbread
vaccination	scar
teg	lamb
transmutation	conversion
grade	gradient
serfdom	bondage
toxicology	pharmacology
spoiler	airfoil
spill	slip
odds	ratio
waterspout	tornado
prototype	model
biomedicine	medicine
hock	joint
brave	warrior
palm	tree
gutter	misfortune
energy	force
parenthesis	punctuation
falsification	dishonesty
crackle	noise
trainer	leader
ptarmigan	grouse
drain	pipe
cagoule	parka
fulcrum	pivot
ergot	fungus
minority	number
brevity	terseness
overhead	return
pier	support
patriarch	forefather
gob	ball
topos	theme
pinch	difficulty
communion	denomination
striper	serviceman
hate	emotion
hooker	athlete
barricade	barrier
radiotherapy	therapy
flicker	woodpecker
repudiation	exposure
villa	house
teacher	educator
donor	benefactor
favor	advantage
dermis	stratum
scaling	measurement
polytheist	theist
mast	nut
pinhole	puncture
energizing	activity
chlorobenzene	hydrocarbon
laparotomy	incision
circulation	count
surcoat	tunic
extinction	inaction
bedroll	bedclothes
racing	sport
oilseed	seed
viscacha	rodent
implosion	collapse
soup	composition
ischium	bone
onchocerciasis	infestation
scrubber	worker
seminar	conference
hacienda	estate
panorama	picture
repression	subjugation
hedger	speculator
ferociousness	cruelty
yacht	vessel
positive	adjective
dean	cardinal
crankcase	housing
flood	filling
tesseract	cube
strongbox	box
explosion	increase
planetarium	model
knitting	handicraft
cyclone	windstorm
hedgehog	insectivore
advertiser	publicist
endothelium	epithelium
coating	fabric
stabling	accommodation
glebe	estate
heuristic	rule
derision	discourtesy
rustiness	awkwardness
press	push
monorail	railway
interoperability	ability
cautery	operation
roadway	road
confessional	booth
angst	anxiety
patroller	watchman
usury	lending
signalman	trainman
mustard	crucifer
noblesse	nobility
evacuation	withdrawal
maintenance	support
gnome	fairy
wolf	canine
drum	vessel
internationality	scope
newscast	news
retina	membrane
icebreaker	ship
hood	headdress
jujube	gumdrop
eel	fish
chickadee	titmouse
bulbul	nightingale
cadenza	passage
helplessness	depression
point	disk
blackfish	salmon
poi	dish
ovipositor	organ
wisp	flock
today	present
undulation	movement
scull	shell
wailer	mourner
signature	name
wrong	injury
abundance	ratio
nation	confederation
prod	device
arsenical	pesticide
largeness	size
saraband	dancing
neigh	cry
ribaldry	wit
mastaba	grave
kremlin	bastion
snapdragon	flower
dove	pigeon
devastation	ruin
multiplier	number
palindrome	word
equalization	act
windowpane	pane
lancers	quadrille
gudgeon	cyprinid
semolina	flour
assent	agreement
insurgency	rebellion
anomaly	person
stilt	shorebird
craton	part
sensibility	sensitivity
prescience	capacity
atrophy	symptom
makeover	reconstruction
featherbedding	practice
allowance	license
joy	emotion
apology	acknowledgment
risk	venture
spinet	upright
bookmaker	gambler
strum	sound
depressor	device
honeycomb	framework
birdhouse	shelter
sexagenarian	oldster
circumcision	abscission
insufflation	blow
drunk	drinker
wording	formulation
thickness	articulation
collector	worker
sloganeering	persuasion
result	ending
reward	payment
sympathy	inclination
diggings	excavation
ordination	status
bedroom	room
portal	entrance
welder	craftsman
bloomer	flower
bowsprit	spar
constraint	restriction
violinist	musician
bang	exhilaration
cognizance	knowing
exponential	function
panic	fear
schism	rupture
shrift	confession
appliance	device
geopolitics	politics
rim	boundary
swath	path
sequel	addendum
laparoscopy	laparotomy
welt	seam
gut	channel
disaffection	disloyalty
enteropathy	disease
oogenesis	gametogenesis
edition	issue
shot	opportunity
coexistence	being
commission	authorization
circular	ad
prey	victim
bairn	child
conviviality	sociability
defecation	elimination
retreated	people
scatology	obscenity
conquest	capture
boulevardier	visitor
depilatory	cosmetic
indomitability	strength
wale	board
stripe	kind
pungency	spiciness
complication	disease
premolar	tooth
greisen	rock
association	relation
coachman	driver
dolman	jacket
glassworks	workplace
rat	pad
supplement	increase
ombudsman	investigator
superlative	praise
invite	invitation
skyhook	helicopter
yoga	exercise
grinding	atom
federalist	advocate
evil	immorality
affiliation	relationship
floater	object
stall	compartment
milt	seafood
ovum	gamete
fragmentation	decomposition
hopefulness	hope
mammon	wealth
allegation	claim
characterization	description
glass	solid
fountain	structure
stretch	elasticity
outsole	sole
levee	pier
extirpation	pull
headline	heading
agnosticism	unbelief
ramification	placement
conveyance	transfer
diplegia	paralysis
host	patron
solution	mixture
mustang	pony
sukiyaki	dish
tautology	truth
pneumothorax	abnormality
player	participant
saskatoon	berry
fourth	interval
plunge	drop
chiaroscuro	picture
cleat	fastener
beggar	pauper
bellows	blower
legume	pod
sock	hosiery
usurpation	capture
truffle	fungus
circlet	adornment
digraph	letter
charity	giving
osteopath	therapist
trader	merchant
clutch	brood
hedonist	sensualist
child	descendant
stopwatch	timer
stubbornness	resoluteness
starboard	side
weevil	beetle
willow	tree
nihil	nothing
sinus	cavity
mannequin	assistant
pacifist	adult
kanamycin	antibiotic
leaflet	leaf
transmutation	change
left	turn
chiffon	fabric
indignity	insult
tempter	person
gangplank	footbridge
whalebone	horn
base	electrode
utensil	implement
ministry	employment
anomie	immorality
outfitter	shop
drawbar	bar
waveguide	conductor
poet	writer
digestion	learning
intelligentsia	elite
overestimate	appraisal
retail	selling
decrease	amount
sit-down	strike
allegro	tempo
fairway	path
butt	stock
repellent	compound
bathyscaphe	submersible
opossum	marsupial
mustard	condiment
conjuring	magic
drummer	percussionist
protocol	rule
metier	occupation
accordionist	musician
brushwork	proficiency
tension	condition
brief	outline
compatriot	national
albite	plagioclase
grist	grain
homophone	homonym
stanza	text
ruin	building
cybercafe	cafe
nailhead	decoration
marcel	hairdo
canon	list
flick	stroke
quadrupling	multiplication
fencer	combatant
rotunda	building
academician	educator
body	structure
ubiquinone	quinone
license	authorization
sleeper	saboteur
mortar	vessel
normality	conformity
seventies	decade
connection	transportation
scenario	setting
beam	side
azurite	malachite
virility	maleness
tyrannosaur	theropod
hand-me-down	garment
ease	naturalness
angelology	theology
doorstop	catch
banana	herb
generic	merchandise
sac	cavity
reciprocation	motion
context	discourse
hypospadias	abnormality
worry	anxiety
resonance	timbre
homozygote	zygote
photomontage	collage
exploration	search
color	interest
haiku	poem
egoism	trait
smelter	plant
freedom	state
plague	calamity
constrictor	snake
escheat	reversion
utility	facility
bantamweight	wrestler
legality	lawfulness
arcade	structure
helm	leadership
sampler	assortment
aneuploidy	abnormality
fiber	fabric
occasion	reason
bookseller	owner
wrinkle	depression
stratosphere	layer
persuasion	communication
paper	article
consideration	discussion
reservation	agreement
skipjack	bonito
jerk	rate
mill	machinery
mace	spice
spoil	injury
ceratopsian	ornithischian
access	code
garbage	receptacle
closeout	sale
airflow	flow
hunt	club
schoolboy	schoolchild
glans	structure
chevrotain	ruminant
moonlight	light
looseness	inaccuracy
justice	judgment
homesickness	nostalgia
filling	concoction
reassembly	reconstruction
oppression	persecution
suppressor	gene
dystopia	fiction
ironmongery	merchandise
framing	conceptualization
impurity	condition
indoctrination	teaching
relict	organism
batting	attempt
aficionado	fan
licentiate	scholar
pioneer	settler
populace	people
welwitschia	gymnosperm
fifties	decade
revolutionist	radical
grunter	person
firewall	drive
balata	tree
imperfection	state
pollutant	waste
taxis	reaction
ditch	waterway
hooker	golfer
salon	shop
ballpark	stadium
genocide	killing
photography	process
auditor	accountant
billy	goat
screw	propeller
gooseberry	currant
cheapness	tastelessness
determination	resoluteness
myalgia	pain
behaviorist	psychologist
dame	girl
freeze-drying	dehydration
rise	motion
tollbooth	booth
self-portrait	portrait
contact	interaction
detention	confinement
gratefulness	gratitude
run	score
hit	joining
correctness	propriety
stigmatic	person
transposition	calculation
pediment	gable
fellowship	prize
offense	team
vichyssoise	soup
naivete	quality
hyphen	punctuation
none	service
silkworm	caterpillar
rack	framework
maple	wood
haircut	cut
longing	desire
salamander	amphibian
pate	spread
excellence	quality
familiar	spirit
loyalist	supporter
waffle	cake
extension	delay
reality	actuality
sylph	woman
duck	fabric
mydriasis	reflex
striker	athlete
level	altitude
bulkiness	largeness
treadmill	mill
infusion	instillation
landfall	seashore
illegitimacy	unlawfulness
peridium	covering
pooch	dog
cartage	hauling
park	tract
exactness	accuracy
oxymoron	trope
peony	flower
steamer	ship
minelayer	ship
android	automaton
fault	crack
secretaryship	position
cudgel	club
search	examination
cloudiness	opacity
junction	joining
baseline	line
annuitant	recipient
pyrite	mineral
scene	incident
seagrass	seaweed
member	part
militarism	hawkishness
hamster	rodent
solid	matter
balloon	plaything
specifier	intellectual
dizziness	symptom
incident	disturbance
perfection	state
attainment	arrival
view	appearance
battery	artillery
submergence	sinking
baritone	singer
constitutionalist	advocate
refreshment	bite
precipice	cliff
eggbeater	mixer
upbeat	rhythm
discharge	flow
kingdom	sphere
whitethorn	hawthorn
cake	block
professional	athlete
press	clamp
surveying	measurement
repertory	collection
kid	leather
rectorship	position
purgatory	situation
curettage	operation
gravy	sauce
faintness	softness
binary	program
precedent	subject
scrim	fabric
parser	program
bully	hood
register	timbre
capote	cloak
pollination	fertilization
springboard	board
yodeling	singing
pseudoscience	fallacy
trail	path
pterygium	conjunctiva
incursion	entrance
above	section
lucidity	sanity
cauliflower	crucifer
skywriting	writing
defense	team
lapel	lap
mutagenesis	cause
gooseneck	curve
solidus	punctuation
dill	herb
fallout	dust
walker	framework
coil	transformer
fetus	vertebrate
apparition	illusion
principality	domain
injunction	command
convocation	assembly
plume	shape
seventeenth	rank
parakeet	parrot
predetermination	decision
northeast	direction
blink	reflex
trophoblast	membrane
dangerousness	characteristic
luxury	indulgence
gentianella	gentian
gusto	enthusiasm
resource	asset
theophany	manifestation
compulsive	person
belvedere	gazebo
guide	structure
spat	legging
defendant	litigant
withdrawal	retraction
preseason	season
negotiation	discussion
prostration	submission
furcula	bone
communication	act
gamble	speculation
limestone	rock
saucepan	pan
suspect	person
mantle	symbol
whaler	mariner
purge	clearing
way	choice
patchwork	quilt
photosphere	surface
representation	right
drive	device
japan	lacquer
subversion	overthrow
trouser	garment
ironworks	workplace
day	opportunity
scullery	room
circumscription	restriction
factotum	servant
tetroxide	oxide
operation	work
fugu	blowfish
mummery	nonsense
digoxin	digitalis
plenum	enclosure
golfing	playing
judgeship	position
stirrer	implement
check	obstruction
echo	reply
aggravation	intensification
co-discoverer	finder
contents	list
performance	action
retirement	termination
intersection	joining
resistance	capability
genuineness	actuality
inquisition	interrogation
maturity	date
sun	star
modifier	moderator
adulterant	substance
progression	series
presentation	show
front	side
unorthodoxy	orientation
handloom	loom
arch	entrance
jack	tool
policyholder	holder
billabong	branch
running	operation
rust	corrosion
urethra	duct
elder	shrub
spring	beginning
pullback	withdrawal
laying	parturition
plumbago	herb
schoolmate	acquaintance
bunco	swindle
softener	chemical
biopiracy	larceny
priestess	priest
flare	fly
investment	assets
feature	article
grill	framework
tension	stress
catch	object
scandal	trouble
honeymoon	vacation
backlog	collection
ultramarine	pigment
raise	increase
extra	artifact
carcinoma	cancer
castrato	singer
neologism	invention
clinic	session
dial	control
vision	imagination
vesper	service
resistance	unresponsiveness
nondescript	person
wick	cord
prospector	miner
breed	type
turnoff	road
sacrifice	putout
bodyguard	detachment
sailcloth	fabric
song	bargain
eyeful	woman
hamartoma	growth
microbiology	biology
vegetarianism	diet
kennel	outbuilding
legitimation	act
firestorm	storm
weathercock	weathervane
factoid	information
meeting	convergence
toehold	foothold
phonebook	directory
euphoria	elation
sheath	covering
void	space
text	passage
col	pass
hurdler	athlete
pretension	artificiality
arbiter	expert
paresis	paralysis
balaclava	cap
stile	upright
hunt	search
doxycycline	antibiotic
cutaway	coat
cappuccino	coffee
injunction	prohibition
capelin	smelt
dew	condensation
dogleg	hole
photopigment	pigment
given	assumption
alteration	change
stringer	worker
flip	dive
cliffhanger	episode
passing	end
spindle	stick
superior	religious
rathskeller	tavern
deposit	guarantee
buddy	friend
tumult	agitation
down	hair
calculation	procedure
dip	condiment
thwack	blow
spiff	attractiveness
hydrangea	shrub
kibble	bucket
anguish	distress
aisle	passageway
oversight	mistake
cold	temperature
voice	communication
invasion	penetration
offer	message
technocrat	expert
strongman	dictator
inefficacy	ineffectiveness
interregnum	interim
concierge	caretaker
trespass	tort
mara	rodent
alpaca	wool
northwest	direction
perambulation	walk
terahertz	rate
bargainer	negotiator
springer	stone
commission	fee
reversion	interest
panelist	critic
flatworm	worm
lexis	cognition
snowshoe	device
cartoon	wit
cryptanalyst	decoder
nosewheel	wheel
friary	monastery
marasmus	malnutrition
literature	writing
outfall	exit
pendant	adornment
policy	contract
glucocorticoid	hormone
reticulation	network
mugwort	wormwood
audiogram	representation
pacifism	doctrine
resonance	oscillation
registration	body
cartwheel	wheel
right-hander	person
differentiation	discrimination
carcinoid	tumor
destructiveness	quality
willingness	disposition
miserliness	meanness
underboss	assistant
governorship	position
clutch	pedal
wireless	telecommunication
gastropod	mollusk
tease	harassment
layer	structure
alum	astringent
forgery	falsification
barnburner	success
point	aim
acerbity	sourness
smoke	vaporization
marker	symbol
quarantine	isolation
grubby	sculpin
allocution	address
meteorology	prediction
crock	nonsense
modernism	practice
fill	enough
detonation	explosion
clue	evidence
authenticity	credibility
spathe	bract
comity	harmony
queen	personification
craziness	insanity
nonmember	person
crossroads	overlap
stock	flower
loss	experience
trade	commerce
humanitarian	benefactor
cotter	serf
artlessness	naivete
arrester	restraint
propagator	communicator
nephrology	medicine
combination	unit
medroxyprogesterone	progestin
deliverer	person
plaster	surface
scud	speed
argent	tincture
fishbowl	aquarium
totality	generality
fuselage	body
circulation	dissemination
brace	support
taproot	root
truth	fact
foreigner	stranger
exile	absentee
causing	act
harasser	attacker
degree	exponent
serjeant-at-law	barrister
phenomenology	doctrine
call	decision
perturbation	influence
greeting	acknowledgment
surrey	carriage
sequoia	cypress
float	artifact
daub	clay
exoticism	foreignness
bullying	aggression
cutaway	representation
confectionery	shop
egress	act
seaweed	alga
interpolation	message
sconce	bracket
terminus	end
elongation	addition
worst	evil
nucleosynthesis	synthesis
grape	vine
invasion	spread
convulsion	disturbance
reseau	network
raise	gamble
error	misstatement
singleness	assiduity
theta	letter
chapterhouse	house
sphagnum	moss
independence	victory
response	manner
revision	rewriting
fluorescence	light
hyoscyamine	alkaloid
fang	extremity
idealization	idea
derivation	inference
liberality	generosity
oil	lipid
cipher	commoner
